sample	library	run	r1_file	r2_file	reads_raw_r1	reads_raw_r2
57-B	57-B	1	57-B_S255_L001_R1_001.fastq.gz	57-B_S255_L001_R2_001.fastq.gz	4417	4417
57-C	57-C	1	57-C_S445_L001_R1_001.fastq.gz	57-C_S445_L001_R2_001.fastq.gz	1335	1335
58-A	58-A	1	58-A_S66_L001_R1_001.fastq.gz	58-A_S66_L001_R2_001.fastq.gz	23701	23701
58-B	58-B	1	58-B_S256_L001_R1_001.fastq.gz	58-B_S256_L001_R2_001.fastq.gz	15531	15531
58-C	58-C	1	58-C_S446_L001_R1_001.fastq.gz	58-C_S446_L001_R2_001.fastq.gz	26267	26267
59-A	59-A	1	59-A_S67_L001_R1_001.fastq.gz	59-A_S67_L001_R2_001.fastq.gz	21205	21205
59-B	59-B	1	59-B_S257_L001_R1_001.fastq.gz	59-B_S257_L001_R2_001.fastq.gz	26012	26012
59-C	59-C	1	59-C_S447_L001_R1_001.fastq.gz	59-C_S447_L001_R2_001.fastq.gz	26903	26903
6-A	6-A	1	6-A_S6_L001_R1_001.fastq.gz	6-A_S6_L001_R2_001.fastq.gz	79874	79874
6-B	6-B	1	6-B_S196_L001_R1_001.fastq.gz	6-B_S196_L001_R2_001.fastq.gz	35192	35192
6-C	6-C	1	6-C_S386_L001_R1_001.fastq.gz	6-C_S386_L001_R2_001.fastq.gz	74900	74900
60-A	60-A	1	60-A_S68_L001_R1_001.fastq.gz	60-A_S68_L001_R2_001.fastq.gz	42429	42429
60-B	60-B	1	60-B_S258_L001_R1_001.fastq.gz	60-B_S258_L001_R2_001.fastq.gz	24399	24399
60-C	60-C	1	60-C_S448_L001_R1_001.fastq.gz	60-C_S448_L001_R2_001.fastq.gz	19620	19620
61-A	61-A	1	61-A_S69_L001_R1_001.fastq.gz	61-A_S69_L001_R2_001.fastq.gz	9898	9898
61-B	61-B	1	61-B_S259_L001_R1_001.fastq.gz	61-B_S259_L001_R2_001.fastq.gz	26120	26120
61-C	61-C	1	61-C_S449_L001_R1_001.fastq.gz	61-C_S449_L001_R2_001.fastq.gz	19103	19103
